id,name,address
ChIJkx6OB6dx5kcRmoa3OG1oEls,Baillotte,"16 rue du Dragon, Paris, 75006, France"
ChIJU22EryVv5kcR3XLR1CB5D68,Benjamin Schmitt Restaurant,"41 rue Catherine-de-La-Rochefoucauld, Paris, 75009, France"
ChIJIdwiG8xx5kcR1VFti1Sth6s,Colvert,"30 rue des Grands-Augustins, Paris, 75006, France"
ChIJOUI0wipt5kcR8PGfUPvkm4g,Eunoé,"6 rue Rochebrune, Paris, 75011, France"
ChIJwROWw8Bv5kcRb1SRKEJ4cXU,Guefen,"212 bis rue de Charenton, Paris, 75012, France"
ChIJWU_367Fv5kcRvjy7VAbM9G4,Halle aux Grains,"Bourse de Commerce, 2 rue de Viarmes, Paris, 75001, France"
ChIJ6RjR3EZu5kcR9KkHdeYEqbk,Le Savarin,"4 rue de Navarin, Paris, 75009, France"
ChIJIUPzvsJv5kcROYwo97Lmxhw,Liquide,"39 rue de l'Arbre-Sec, Paris, 75001, France"
ChIJLZ3bUplx5kcREJJwwkZJIvg,Sharma Ji,"16 rue Frémicourt, Paris, 75015, France"
ChIJ9Z6nGDtu5kcRgc34rnb__eA,Sushi B,"5 rue Rameau, Paris, 75002, France"
ChIJWYknG3dv5kcR5wjfCFNpc6s,Bloom,"99 rue Jouffroy-d'Abbans, Paris, 75017, France"
ChIJ_3Rs2ttx5kcRUXohtuk4bMI,Flocon,"75 rue Mouffetard, Paris, 75005, France"
ChIJO2-Qu5dv5kcRdm8vRwFj4LA,Hokusaï,"Metropolitan Paris Tour Eiffel, 3 rue des Belles-Feuilles, Paris, 75116, France"
ChIJZf2wJx9x5kcRTD2DAPk3rP0,MoSuke,"11 rue Raymond-Losserand, Paris, 75014, France"
ChIJd0Lizg9y5kcREFxaQMvhwDo,Nous 4,"3 rue Beccaria, Paris, 75012, France"
ChIJL4Y_4t5x5kcRaQHOzdKOpiM,Oktobre,"25 rue des Grands-Augustins, Paris, 75006, France"
ChIJ29ZNbIJv5kcRrSDwNB3fi8w,Ose,"3 rue Durantin, Paris, 75018, France"
ChIJ1YFmqNZv5kcRBAVR2JH8pEo,Plénitude - Cheval Blanc Paris,"8 quai du Louvre, Paris, 75001, France"
ChIJS4XkBmpu5kcRVhmXQ22MB_E,Pétrelle,"34 rue Pétrelle, Paris, 75009, France"
ChIJY7HzKAdv5kcR3eg8uXFdXNw,Vinello,"106 rue Nollet, Paris, 75017, France"
ChIJ4xN1LM9v5kcR8kqBdK645h0,114 Faubourg,"Le Bristol, 114 rue du Faubourg-Saint-Honoré, Paris, 75008, France"
ChIJ6QNjzqBv5kcRdxkLUD7wcuA,19 Saint Roch,"19 rue Saint-Roch, Paris, 75001, France"
ChIJIfDomZhv5kcRGke9wBF3AGI,19.20 by Norbert Tarayre,"Prince de Galles, 33 avenue George-V, Paris, 75008, France"
ChIJIZFlYeBv5kcRvRuF60rDS9o,20 Eiffel,"20 rue de Monttessuy, Paris, 75007, France"
ChIJLe0K9sVv5kcRt9qr4CrfIZU,24 - Le Restaurant,"24 rue Jean-Mermoz, Paris, 75008, France"
ChIJgxn5zBNu5kcRjFTjWxFEtXE,52 Faubourg St-Denis,"52 rue du Faubourg-Saint-Denis, Paris, 75010, France"
ChIJ4xeFqUFu5kcRZlL1mE8bUUM,ASPIC,"24 rue Louise-Émilie-de-la-Tour-d'Auvergne, Paris, 75009, France"
ChIJSXUGuORx5kcR_w2q7eJxLRo,AT,"4bis rue du Cardinal-Lemoine, Paris, 75005, France"
ChIJl2szvj9u5kcRztUQCxoG-Ew,Abri Soba,"10 rue Saulnier, Paris, 75009, France"
ChIJCfSJczxu5kcR5iWOIrx0RLg,Accents Table Bourse,"24 rue Feydeau, Paris, 75002, France"
ChIJ4_FJ0q1v5kcRO3RTnL4cxp8,Adami,"19 bis rue Pierre-Fontaine, Paris, 75009, France"
ChIJ81Z3EIhv5kcR-eurCHPgU14,Adraba,"40 rue Véron, Paris, 75018, France"
ChIJQ3-giLxv5kcRgYmfvT0hy6I,Agapé,"51 rue Jouffroy-d'Abbans, Paris, 75017, France"
ChIJ75JwXyxw5kcRqI3wcJMllY4,Aida,"1 rue Pierre-Leroux, Paris, 75007, France"
ChIJW0ICZg5v5kcRvyEFYPJKYxo,Akabeko,"40 rue de l'Université, Paris, 75007, France"
ChIJx2NEgptv5kcRPJ7AHeThtUM,Akira Back Paris,"Prince de Galles, 33 avenue George-V, Paris, 75008, France"
ChIJbZwQYu5v5kcR3uAetlru3Go,Akrame,"7 rue Tronchet, Paris, 75008, France"
ChIJW_uHie5v5kcRxSkJ0_OHC7k,Alan Geaam,"19 rue Lauriston, Paris, 75016, France"
ChIJuZn5THBx5kcRIN1OExKjBoU,Aldehyde,"5 rue du Pont-Louis-Philippe, Paris, 75004, France"
ChIJfdZi-d5x5kcR2Ez_J64oZWY,Allard,"41 rue Saint-André-des-Arts, Paris, 75006, France"
ChIJ_0DhQ9Fv5kcRWUtmtbvWRvQ,Alleudium,"24 rue Rodier, Paris, 75009, France"
ChIJeWenk-Rx5kcRRoSlhTbzWlM,Alliance,"5 rue de Poissy, Paris, 75005, France"
ChIJPxGQOx9t5kcRmczlkAOj3Ps,Alluma,"151 rue Saint-Maur, Paris, 75011, France"
ChIJNb0Vrftv5kcRMegtKrTeefg,Alléno Paris au Pavillon Ledoyen,"8 avenue Dutuit, Paris, 75008, France"
ChIJiWbPxwNy5kcRYr0ZXPbpXdY,Amarante,"4 rue Biscornet, Paris, 75012, France"
ChIJ660fev5x5kcRpI1e5zXVhr8,Ambos,"38 rue de Vaugirard, Paris, 75006, France"
ChIJv0-JCeNt5kcRaV9ngQ1Eu64,Amâlia,"32 rue de la Fontaine-au-Roi, Paris, 75011, France"
ChIJBf6gVc1x5kcRIrSgr_ptdNM,"Anicia, table nature","97 rue du Cherche-Midi, Paris, 75006, France"
ChIJGZbt11dv5kcRxGUcs6VnlSc,Anne,"28 place des Vosges, Paris, 75003, France"
ChIJhXXqWUZv5kcRIeS11clgDck,Anona,"80 boulevard des Batignolles, Paris, 75017, France"
